БЕЛГОРОДСКАЯ ЗЕРНОВАЯ КОМПАНИЯ (ЗАО);(47242) 4-95-25, 4-95-40
БЕРЕЗОВСКИЙ СВИНОКОМПЛЕКС;(47243) 5-18-83
БОРИСОВСКАЯ ЗЕРНОВАЯ КОМПАНИЯ (ООО). ГОСУДАРСТВЕННАЯ КОМПАНИЯ «АГРОБЕЛОГОРЬЕ»;(47246) 5-22-44
ВЕЙДЕЛЕВСКИЙ НАУЧНО-ПРОИЗВОДСТВЕННЫЙ СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ИНСТИТУТ СЕЛЕКЦИИ и СЕМЕНОВОДСТВА ПОДСОЛНЕЧНИКА ЦЕНТРАЛЬНО-ЧЕРНОЗЕМНОГО РЕГИОНА (ООО);(47237) 5-50-66, 5-58-62
ГРАЙВОРОНСКАЯ МОЛОЧНАЯ КОМПАНИЯ (ООО);(4722) 58-69-35
ЗАО ИМЕНИ КИРОВА;(47237) 4-23-25
КОЛХОЗ ИМЕНИ ФРУНЗЕ;(4722) 38-91-22, 38-91-67, 38-91-21, 3891-86
КРАСНЕНСКИЙ ФИЛИАЛ ЗАО «КРАСНО-ЯРУЖСКИЙ БРОЙЛЕР»;(47262) 5-77-02
КРАСНОГВАРДЕЙСКАЯ ЗЕРНОВАЯ КОМПАНИЯ (ООО);(47247) 6-04-99, 6-04-36
КРАСНОЯРУЖСКАЯ ЗЕРНОВАЯ КОМПАНИЯ (ЗАО);(47263) 4-56-35, 4-54-71
КУРАСОВСКИЙ СВИНОКОМПЛЕКС (ООО);(47243) 5-17-52
НОВООСКОЛЬСКОЕ ОТДЕЛЕНИЕ КРАС-НОЯРУЖСКОЙ ЗЕРНОВОЙ КОМПАНИИ (ЗАО);(47232) 5-55-50, 5-54-05
ОАО ИМЕНИ ГЕНЕРАЛА ВАТУТИНА;(47236) 3-27-80, 3-16-00
ПРОХОРОВСКАЯ ЗЕРНОВАЯ КОМПАНИЯ (ООО);(47242) 4-01-16
ПРОХОРОВСКОЕ ПОДРАЗДЕЛЕНИЕ АГРОХОЛДИНГА «ИВНЯНСКИЙ» (ООО);(47242) 4-11-48
ПТИЦЕФАБРИКА. ЗАО «РЕАЛ ИНВЕСТ»;(47236) 9-61-19
САФОНОВСКИЙ СВИНОКОМПЛЕКС;(47243) 5-18-83
«АВАНГАРД-АГРО-БЕЛГОРОД» ООО;(47233) 5-94-46, 5-95-21
«АГРО-ИСКРА» ООО;(47231) 4-11-40
«АГРО-МАЛАКЕЕВСКОЕ» ООО;(47237) 4-44-30
«АГРО-ПИК» ООО;(47263) 4-51-52
«АГРО-РАССВЕТ» ООО;(47231) 5-22-35
«АГРО-САДОВОДЧЕСКОЕ» ЗАО;(47236) 3-06-25, 9-31-19
«АГРО-ФЕОДОСИЯ» ООО;(47247) 3-42-32
«АГРОИНВЕСТ» ООО;(47261) 4-11-93
«АГРОСЕРВИС» ООО;(4722) 57-02-54, 57-04-06
«АГРОСОЮЗ АВИДА» ЗАО;(4725) 49-31-17
«АГРОТЕХ-ГАРАНТ — АЛЕКСЕЕВСКИЙ» ООО;(47234) 7-31-16, 7-31-21
«АЛЕЙНИКОВО» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(47234) 7-14-10, 7-14-83
«АРХАНГЕЛЬСКОЕ» ПРОИЗВОДСТВО. ХОЛДИНГ «РУСАГРОИНВЕСТ»;(47241) 6-47-17
«БВК» АГРОПРОМЫШЛЕННАЯ ГРУППА (ЗАО);(47241) 2-13-71, 2-43-82, 2-49-01, 2-36-20
«БЕЛАЯ ПТИЦА» ЗАО;(4722) 58-98-42, 58-98-41, 58-98-42
«БЕЛГОРОД СЕМЕНА» ООО;(47248) 7-82-52, 7-82-25, 7-82-31, 7-82-78, 7-82-51, 7-83-33
«БЕЛГОРОДСКИЕ ГРАНУЛИРОВАННЫЕ КОРМА» ООО;"(47245) 5-57-74; (4722) 37-69-02, 37-69-00"
«БЕЛГОРОДСКИЕ МОЛОЧНЫЕ ФЕРМЫ» ОАО;"(4722) 58-66-60; (47243) 4-21-68; (495) 649-10-38 (Москва)"
«БЕЛГОРОДСКИЙ БЕКОН» ОАО. ГРУППА КОМПАНИЙ «РУСАГРО»;(4722) 22-28-94, 35-35-66, 22-29-42, 2229-78, 22-27-52
«БЕЛГОРОДСКИЙ БРОЙЛЕР» ЗАО;(4722) 29-24-62
«БЕЛГОРОДСКОЕ» ОПХ. БЕЛГОРОДСКИЙ НИИ СЕЛЬСКОГО ХОЗЯЙСТВА;(4722) 39-96-37, 39-95-34
«БЕЛГОРОДСКОЕ» ПРОИЗВОДСТВО. ООО «БЕЛГРАНКОРМ»;(4722) 57-31-38
«БЕЛГРАНКОРМ-ХОЛДИНГ» УПРАВЛЯЮЩАЯ КОМПАНИЯ (ОАО);(4722) 37-69-00, 37-69-02
«БЕЛГРАНКОРМ» ООО;(4722) 57-10-26, 57-17-01
«БЕЛГРАНКОРМ» ООО;(47244) 6-71-46
«БЕЛГРАНКОРМ» ЯСНОЗОРИНСКОЕ ПРОИЗВОДСТВО (ООО);(4722) 57-31-30, 57-32-78
«БЕЛОГОРЬЕ-РАССВЕТ» ФИЛИАЛ ООО «ЦЧ АПК»;(47238) 5-51-81, 5-58-70
«БЕЛОГОРЬЕ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(47238) 3-72-19, 3-72-41
«БЕЛОГОРЬЕ» ФИЛИАЛ ООО «РУСАГРО-ИНВЕСТ»;(47235) 4-44-89
«БЕЛОГОРЬЕ» ФИЛИАЛ ООО «РУСАГРО-ИНВЕСТ»;(47248) 6-95-42, 6-22-11
«БЕЛЯНСКАЯ» ПТИЦЕФАБРИКА (ЗАО);(47248) 7-75-75, 7-75-74
«БИРЮЧЕНСКИЙ» АГРОПРОМЫШЛЕННЫЙ КОМБИНАТ (ОАО);(47247) 3-26-77, 3-11-69
«БИРЮЧКОВСКОЕ» ООО;(47247) 3-25-92
«БЛАГОДАТНОЕ» ООО;(47262) 5-31-84, 5-31-71
«БОБРАВСКОЕ» ЗАО;(47245) 5-31-34, 5-31-41
«БОБРОВОДВОРСКОЕ» ХОЗЯЙСТВО. АГРОХОЛДИНГ «ГУБКИН» (ОАО);(47241) 6-61-40, 6-52-04, 6-52-74
«БОЛЬШЕВИК» ЗАО;(47261) 3-51-50, 3-51-40
«БОЛЬШЕВИК» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(47247) 6-37-42
«БОЛЬШЕХАЛАНСКОЕ» ПРОИЗВОДСТВО. ООО «РУСАГРО-ИНВЕСТ»;(47231) 5-63-73
«БОЛЬШЕХАЛАНСКОЕ» ПРОИЗВОДСТВО. ООО «РУСАГРО-ОСКОЛ»;(47231) 4-91-22
«БОРИСОВКА» ПРОИЗВОДСТВО. ООО «РУСАГРО-ИНВЕСТ»;(47235) 4-55-22
«БОРОДИНСКИЙ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(47232) 5-50-79, 5-55-79
